CustomerID,Recency,Frequency,Monetary,AverageOrderValue,BasketSize,ProductDiversity,TotalQuantity,Cluster,Segment_Name,Alternative_Cluster,Alternative_Segment,Silhouette_Value_KMeans,Relative_Centroid_Margin,Combined_Boundary_Flag,Assignment_Confidence_Category,GMM_Component,Alternative_GMM_Component,Maximum_Probability,Second_Probability,Probability_Margin,Normalised_Entropy,Silhouette_Value_GMM,Combined_Ambiguous_Flag,Membership_Confidence_Category,Aligned_GMM_Cluster,Models_Agree_After_Alignment,Cross_Model_Uncertainty_Group,GMM_Segment_Name,GMM_Segment_Description,Primary_Objective,Recommended_Action,Primary_KPI,Operational_Priority,Primary_Operational_Model,Supporting_Analytical_Model
12346,326,1,77183.6,77183.6,74215.0,1,74215,4,High-Value Large-Order Buyers,2,High-Value Loyal Customers,0.0883834602854522,0.0918368388459197,True,Boundary / Ambiguous Assignment,1,4,1.0,7.852304336834874e-54,1.0,8.58405934844036e-14,0.1461047330249087,False,Strong Membership,4,True,K-Means Boundary Only,Elite High-Value Customers,"Very high-value customers combining large orders, high quantities and strong purchase frequency.",Protect order value,"Order-value incentives, replenishment reminders and priority support for large purchases.",Average order value,Very High,K-Means K=5,GMM C5 Spherical
12347,2,7,4310.0,615.71,351.14,103,2458,2,High-Value Loyal Customers,4,High-Value Large-Order Buyers,0.3444570610504318,0.5654939027519411,False,Strong Assignment,2,1,0.9750889970617044,0.0249104439077939,0.9501785531539104,0.0724396900313614,0.408044656034381,False,Strong Membership,2,True,Flagged by Neither Model,High-Value Loyal Customers,"Recent, frequent and high-value customers with broad product engagement.",Retention,"VIP recognition, priority service and early-access retention benefits.",Revenue retention,Very High,K-Means K=5,GMM C5 Spherical
12348,75,4,1797.24,449.31,585.25,22,2341,4,High-Value Large-Order Buyers,2,High-Value Loyal Customers,0.1586179084956513,0.3510198868635063,False,Moderate Assignment,1,2,0.8729108197711728,0.1229431744724813,0.7499676452986914,0.2479650006650098,-0.1604200062179658,False,Strong Membership,4,True,Flagged by Neither Model,Elite High-Value Customers,"Very high-value customers combining large orders, high quantities and strong purchase frequency.",Protect order value,"Order-value incentives, replenishment reminders and priority support for large purchases.",Average order value,Very High,K-Means K=5,GMM C5 Spherical
12349,19,1,1757.55,1757.55,631.0,73,631,4,High-Value Large-Order Buyers,2,High-Value Loyal Customers,0.3174666511091513,0.4502983697859136,False,Strong Assignment,1,2,0.9999994668531632,3.724231372811597e-07,0.9999990944300258,5.318969484652603e-06,0.1514703544954977,False,Strong Membership,4,True,Flagged by Neither Model,Elite High-Value Customers,"Very high-value customers combining large orders, high quantities and strong purchase frequency.",Protect order value,"Order-value incentives, replenishment reminders and priority support for large purchases.",Average order value,Very High,K-Means K=5,GMM C5 Spherical
12350,310,1,334.40000000000003,334.4,197.0,17,197,0,Dormant Occasional Customers,1,Active Regular Customers,0.5066294386736702,0.709515006925194,False,Strong Assignment,3,4,0.9999557682892783,3.473276803436496e-05,0.999921035521244,0.0003208864009443,0.5486495641192424,False,Strong Membership,0,True,Flagged by Neither Model,Dormant Occasional Customers,Long-inactive customers with few purchases and limited total value.,Reactivation,Low-cost win-back communication with time-limited personalised incentives.,Reactivation rate,Medium,K-Means K=5,GMM C5 Spherical
12352,36,8,2506.04,313.26,67.0,59,536,2,High-Value Loyal Customers,1,Active Regular Customers,0.0183238918593379,0.0521942042341944,True,Boundary / Ambiguous Assignment,2,0,0.90504789463694,0.089952579239244,0.8150953153976961,0.2072725572991832,0.1779199220805878,False,Strong Membership,2,True,K-Means Boundary Only,High-Value Loyal Customers,"Recent, frequent and high-value customers with broad product engagement.",Retention,"VIP recognition, priority service and early-access retention benefits.",Revenue retention,Very High,K-Means K=5,GMM C5 Spherical
12353,204,1,89.0,89.0,20.0,4,20,3,Low-Value Infrequent Customers,0,Dormant Occasional Customers,0.3753902870999825,0.6385986395474635,False,Strong Assignment,4,3,0.9999999981678878,1.8207274300354243e-09,0.9999999963471604,2.4083463354608232e-08,0.3480235229183377,False,Strong Membership,3,True,Flagged by Neither Model,Low-Value Infrequent Customers,"Low-frequency customers with low spending, small baskets and limited product diversity.",Efficient nurture,Automated low-cost offers and product recommendations with controlled campaign spend.,Conversion rate,Low,K-Means K=5,GMM C5 Spherical
12354,232,1,1079.4,1079.4,530.0,58,530,4,High-Value Large-Order Buyers,0,Dormant Occasional Customers,0.3003251820203946,0.4534428283440003,False,Strong Assignment,1,3,0.9999687024692028,2.275086742548128e-05,0.9999459516017772,0.000232694860257,0.0404500581629172,False,Strong Membership,4,True,Flagged by Neither Model,Elite High-Value Customers,"Very high-value customers combining large orders, high quantities and strong purchase frequency.",Protect order value,"Order-value incentives, replenishment reminders and priority support for large purchases.",Average order value,Very High,K-Means K=5,GMM C5 Spherical
12355,214,1,459.4,459.4,240.0,13,240,0,Dormant Occasional Customers,4,High-Value Large-Order Buyers,0.2954946983676866,0.3871940845436524,False,Strong Assignment,3,0,0.9867870541050467,0.0118742041658574,0.9749128499391894,0.0467059315234134,0.3075744254414889,False,Strong Membership,0,True,Flagged by Neither Model,Dormant Occasional Customers,Long-inactive customers with few purchases and limited total value.,Reactivation,Low-cost win-back communication with time-limited personalised incentives.,Reactivation rate,Medium,K-Means K=5,GMM C5 Spherical
12356,23,3,2811.43,937.14,530.33,53,1591,4,High-Value Large-Order Buyers,2,High-Value Loyal Customers,0.1747020972261926,0.3840176392702852,False,Moderate Assignment,1,2,0.9596457098690048,0.0403260182790873,0.9193196915899176,0.1051933021057464,-0.0399446354509566,False,Strong Membership,4,True,Flagged by Neither Model,Elite High-Value Customers,"Very high-value customers combining large orders, high quantities and strong purchase frequency.",Protect order value,"Order-value incentives, replenishment reminders and priority support for large purchases.",Average order value,Very High,K-Means K=5,GMM C5 Spherical
12357,33,1,6207.67,6207.67,2708.0,131,2708,4,High-Value Large-Order Buyers,2,High-Value Loyal Customers,0.1580399248434685,0.1827591819510689,False,Moderate Assignment,1,2,1.0,2.605002906944499e-23,1.0,8.58405934844036e-14,0.2179164068168667,False,Strong Membership,4,True,Flagged by Neither Model,Elite High-Value Customers,"Very high-value customers combining large orders, high quantities and strong purchase frequency.",Protect order value,"Order-value incentives, replenishment reminders and priority support for large purchases.",Average order value,Very High,K-Means K=5,GMM C5 Spherical
