CustomerID,Recency,Frequency,Monetary,AverageOrderValue,BasketSize,ProductDiversity,TotalQuantity,Cluster,Silhouette_Value,Segment_Name
12346,326,1,77183.6,77183.6,74215.0,1,74215,4,0.08838346028545221,High-Value Large-Order Buyers
12347,2,7,4310.0,615.71,351.14,103,2458,2,0.34445706105043183,High-Value Loyal Customers
12348,75,4,1797.24,449.31,585.25,22,2341,4,0.15861790849565136,High-Value Large-Order Buyers
12349,19,1,1757.55,1757.55,631.0,73,631,4,0.3174666511091513,High-Value Large-Order Buyers
12350,310,1,334.40000000000003,334.4,197.0,17,197,0,0.5066294386736702,Dormant Occasional Customers
12352,36,8,2506.04,313.26,67.0,59,536,2,0.018323891859337964,High-Value Loyal Customers
12353,204,1,89.0,89.0,20.0,4,20,3,0.37539028709998257,Low-Value Infrequent Customers
12354,232,1,1079.4,1079.4,530.0,58,530,4,0.3003251820203946,High-Value Large-Order Buyers
12355,214,1,459.4,459.4,240.0,13,240,0,0.29549469836768666,Dormant Occasional Customers
12356,23,3,2811.43,937.14,530.33,53,1591,4,0.17470209722619268,High-Value Large-Order Buyers
12357,33,1,6207.67,6207.67,2708.0,131,2708,4,0.15803992484346857,High-Value Large-Order Buyers
12358,2,2,1168.06,584.03,124.0,13,248,1,0.17347953511614625,Active Regular Customers
12359,58,4,6310.03,1577.51,402.25,214,1609,4,-0.023525529868993224,High-Value Large-Order Buyers
12360,52,3,2662.06,887.35,388.33,105,1165,4,0.12120862697969793,High-Value Large-Order Buyers
12361,287,1,189.9,189.9,91.0,10,91,0,0.4222316921085397,Dormant Occasional Customers
12362,3,10,5226.2300000000005,522.62,222.9,201,2229,2,0.47218515977658676,High-Value Loyal Customers
12363,110,2,552.0,276.0,204.0,23,408,1,0.29511672241728754,Active Regular Customers
12364,8,4,1313.1,328.28,376.5,70,1506,2,0.13016876948928524,High-Value Loyal Customers
12365,291,2,641.38,320.69,87.0,22,174,0,0.4310110945198882,Dormant Occasional Customers
12367,4,1,168.9,168.9,173.0,11,173,1,0.3500981912468611,Active Regular Customers
12370,51,4,3541.94,885.48,588.0,143,2352,4,-0.022007841028547203,High-Value Large-Order Buyers
12371,45,2,1887.96,943.98,295.5,63,591,4,0.28935628900137716,High-Value Large-Order Buyers
12372,72,3,1298.04,432.68,264.67,34,794,4,0.1419016795958879,High-Value Large-Order Buyers
12373,311,1,364.6,364.6,197.0,14,197,0,0.49946690286668255,Dormant Occasional Customers
12374,25,1,742.9300000000001,742.93,342.0,33,342,4,0.25223577013144355,High-Value Large-Order Buyers
12375,11,2,457.5,228.75,89.0,14,178,1,0.45674012582702883,Active Regular Customers
12377,315,2,1628.12,814.06,472.0,72,944,4,0.16068854325824053,High-Value Large-Order Buyers
12378,130,1,4008.62,4008.62,2529.0,219,2529,4,0.18675283961518926,High-Value Large-Order Buyers
12379,82,2,852.24,426.12,203.5,39,407,1,0.07105594128235011,Active Regular Customers
12380,22,4,2724.81,681.2,281.75,77,1127,2,0.07910327025183779,High-Value Loyal Customers
12381,5,5,1845.31,369.06,161.6,70,808,2,0.17864257817443602,High-Value Loyal Customers
12383,185,5,1850.56,370.11,306.4,84,1532,4,-0.001077772058445811,High-Value Large-Order Buyers
12384,29,2,585.27,292.64,63.0,26,126,1,0.4157798988624687,Active Regular Customers
12386,338,2,401.9,200.95,177.0,10,354,0,0.4622692009494926,Dormant Occasional Customers
12388,16,6,2780.6600000000003,463.44,243.67,57,1462,2,0.3053192680175399,High-Value Loyal Customers
12390,80,1,549.84,549.84,353.0,32,353,4,0.20029026963866614,High-Value Large-Order Buyers
12391,22,1,439.66,439.66,293.0,92,293,4,-0.020229573321347116,High-Value Large-Order Buyers
12393,72,4,1582.6,395.65,204.0,47,816,4,-0.009600733127458277,High-Value Large-Order Buyers
12394,64,2,1272.48,636.24,409.5,26,819,4,0.36530352021373513,High-Value Large-Order Buyers
12395,19,12,3018.63,251.55,176.5,91,2118,2,0.44061846313654485,High-Value Loyal Customers
12397,36,2,2409.9,1204.95,631.5,110,1263,4,0.23258399518800088,High-Value Large-Order Buyers
12398,46,1,1635.66,1635.66,1394.0,85,1394,4,0.2985620273204994,High-Value Large-Order Buyers
12399,119,4,1108.65,277.16,294.5,47,1178,4,0.011191719258295056,High-Value Large-Order Buyers
12401,303,1,84.3,84.3,11.0,5,11,3,0.2759070271085138,Low-Value Infrequent Customers
12402,323,1,225.6,225.6,94.0,11,94,0,0.48092527637344584,Dormant Occasional Customers
12403,50,1,427.7,427.7,96.0,5,96,1,0.1778982164053318,Active Regular Customers
12405,149,1,1710.39,1710.39,857.0,54,857,4,0.37242138580164424,High-Value Large-Order Buyers
12406,22,2,3415.3,1707.65,909.0,92,1818,4,0.20332649937444788,High-Value Large-Order Buyers
12407,50,5,1708.12,341.62,283.2,57,1416,2,0.19223816541997346,High-Value Loyal Customers
12408,33,5,2888.55,577.71,281.8,81,1409,2,0.21790172421959697,High-Value Loyal Customers
12409,79,3,11072.67,3690.89,1850.33,91,5551,4,0.11199512047653302,High-Value Large-Order Buyers
12410,309,2,693.33,346.66,105.5,26,211,0,0.4343834233434239,Dormant Occasional Customers
12412,75,3,1226.88,408.96,276.33,43,829,4,0.14457726743219182,High-Value Large-Order Buyers
12413,67,3,758.1,252.7,95.33,29,286,1,0.4675241774034386,Active Regular Customers
12414,217,3,562.4100000000001,187.47,100.0,16,300,0,0.2240442414987042,Dormant Occasional Customers
12415,24,21,124914.53,5948.31,3684.48,444,77374,2,0.07368704558530274,High-Value Loyal Customers
12417,3,9,3649.1,405.46,172.44,158,1552,2,0.49306508856939496,High-Value Loyal Customers
12418,113,1,668.58,668.58,407.0,34,407,4,0.3235137053561606,High-Value Large-Order Buyers
12420,64,1,600.39,600.39,345.0,29,345,4,0.21377222630326947,High-Value Large-Order Buyers
12421,16,4,807.04,201.76,121.0,32,484,1,0.43786513241111225,Active Regular Customers
12422,96,3,803.5600000000001,267.85,123.33,39,370,1,0.41748480369535684,Active Regular Customers
12423,1,8,1859.31,232.41,167.38,97,1339,2,0.30368116361297903,High-Value Loyal Customers
12424,163,2,1760.96,880.48,370.0,30,740,4,0.3890193967940813,High-Value Large-Order Buyers
12425,78,1,777.2,777.2,496.0,36,496,4,0.3868512312078516,High-Value Large-Order Buyers
12426,195,1,582.73,582.73,258.0,30,258,4,-0.02567809313830519,High-Value Large-Order Buyers
12427,22,3,825.8000000000001,275.27,177.67,26,533,1,0.36673891435064293,Active Regular Customers
12428,26,9,7956.46,884.05,392.89,258,3536,2,0.317718190939581,High-Value Loyal Customers
12429,9,4,3750.4,937.6,389.25,82,1557,4,-0.034433751558595946,High-Value Large-Order Buyers
12430,43,1,256.4,256.4,117.0,11,117,1,0.306101568883621,Active Regular Customers
12431,36,15,6419.95,428.0,193.07,163,2896,2,0.49628029275258895,High-Value Loyal Customers
12432,43,5,5059.32,1011.86,360.2,107,1801,2,0.11148311985728415,High-Value Loyal Customers
12433,1,7,13375.87,1910.84,1581.57,219,11071,2,0.07739410729292215,High-Value Loyal Customers
12434,85,2,806.14,403.07,197.0,46,394,1,0.11594237232382731,Active Regular Customers
12435,80,2,7829.89,3914.94,1027.5,31,2055,4,0.2025229820463663,High-Value Large-Order Buyers
12436,100,1,509.01,509.01,211.0,16,211,1,0.08655981958827332,Active Regular Customers
12437,2,18,4951.41,275.08,162.33,118,2922,2,0.4816404569982058,High-Value Loyal Customers
12438,14,2,2906.85,1453.42,590.0,84,1180,4,0.22181976322770408,High-Value Large-Order Buyers
12441,367,1,173.55,173.55,121.0,11,121,0,0.4532440884488188,Dormant Occasional Customers
12442,3,1,172.06,172.06,182.0,12,182,1,0.3617235485464461,Active Regular Customers
12444,21,5,5005.46,1001.09,230.6,138,1153,2,0.17962035283737976,High-Value Loyal Customers
12445,22,1,133.4,133.4,62.0,4,62,3,0.20670177368108783,Low-Value Infrequent Customers
12446,58,1,1002.31,1002.31,351.0,57,351,4,0.34899663894935634,High-Value Large-Order Buyers
12447,243,1,476.49,476.49,190.0,26,190,0,0.3620683398730524,Dormant Occasional Customers
12448,44,1,449.45,449.45,243.0,22,243,1,0.13716123393290228,Active Regular Customers
12449,22,4,4067.29,1016.82,388.25,118,1553,2,0.05069402108168139,High-Value Loyal Customers
12450,156,2,197.88,98.94,64.0,7,128,3,0.16365885315811304,Low-Value Infrequent Customers
12451,11,5,9035.52,1807.1,1315.0,265,6575,2,0.04596137093426162,High-Value Loyal Customers
12452,17,2,430.5700000000001,215.29,92.5,21,185,1,0.4899371311397811,Active Regular Customers
12453,134,1,707.09,707.09,473.0,43,473,4,0.3674310136831627,High-Value Large-Order Buyers
12454,56,1,3528.34,3528.34,1006.0,15,1006,4,0.280961370984495,High-Value Large-Order Buyers
12455,73,6,2466.86,411.14,348.17,85,2089,2,0.2603061604014312,High-Value Loyal Customers
12456,44,3,3181.04,1060.35,544.33,105,1633,4,0.12853651968431173,High-Value Large-Order Buyers
12457,66,7,2363.23,337.6,120.43,53,843,2,0.14959490905178335,High-Value Loyal Customers
12458,71,2,947.4,473.7,253.0,35,506,4,0.11389114960373377,High-Value Large-Order Buyers
12461,94,2,826.88,413.44,143.5,35,287,1,0.2421765576796353,Active Regular Customers
12462,19,2,1189.59,594.79,268.0,51,536,4,0.21283121774750519,High-Value Large-Order Buyers
12463,53,4,1344.78,336.2,194.0,65,776,2,-0.003401823137049484,High-Value Loyal Customers
12464,10,8,1212.05,151.51,14.0,6,112,3,0.011977052834097855,Low-Value Infrequent Customers
12465,17,2,742.19,371.1,239.5,46,479,1,0.13442242371609361,Active Regular Customers
12468,188,2,729.54,364.77,183.0,36,366,0,0.06038461583743454,Dormant Occasional Customers
12471,2,30,19788.65,659.62,273.33,150,8200,2,0.3866299471648707,High-Value Loyal Customers
12472,32,7,6572.11,938.87,592.57,219,4148,2,0.22018184661376386,High-Value Loyal Customers
12473,29,5,3928.05,785.61,482.8,140,2414,2,0.1662755270351459,High-Value Loyal Customers
12474,17,18,7324.09,406.89,268.5,253,4833,2,0.47476825635878167,High-Value Loyal Customers
12475,54,1,723.38,723.38,535.0,36,535,4,0.3709264578767657,High-Value Large-Order Buyers
